serviceCharge,picturecount,pricetrend,livingSpace,baseRentRange,noRooms,noRoomsRange,livingSpaceRange,totalRent
150.0,5,3.44,75.0,5,3,3,3,1005.0
125.0,15,-0.37,63.3,2,2,2,3,475.0
320.0,13,3.68,80.0,7,2,2,3,1720.0
150.0,17,3.45,85.5,7,3,3,4,1250.0
203.04,14,7.56,101.52,9,3,3,5,2436.48
150.0,17,4.59,60.0,8,1,1,2,1950.0
140.0,1,1.9,69.15,2,3,3,3,520.0
205.0,13,3.39,78.57,3,2,2,3,740.0
127.0,12,2.48,53.48,1,3,3,2,464.0
215.0,5,4.01,69.09,4,2,2,3,802.0
117.0,15,0.0,48.86,1,2,2,2,316.0
110.0,7,4.02,60.87,5,3,3,2,869.0
240.0,10,1.96,97.1,3,4,4,4,700.0
59.0,5,1.16,54.0,1,2,2,2,372.0
75.0,10,0.0,30.32,1,1,1,1,270.0
135.0,6,1.46,49.1,1,2,2,2,400.0
88.0,4,2.13,59.07,1,2,2,2,329.6
90.67,6,7.01,56.67,7,2,2,2,1339.74
140.87,5,2.36,60.0,2,2,2,2,470.87
141.68,10,3.87,64.4,4,2,2,3,644.0
90.0,1,3.59,63.0,1,2,2,3,450.0
60.0,4,0.97,52.14,1,2,2,2,355.0
165.0,2,2.84,59.47,1,2,2,2,445.0
130.0,5,3.7,57.31,2,3,3,2,440.0
180.0,11,4.65,70.0,4,3,3,3,780.0
63.48,33,0.38,79.35,2,3,3,3,476.1
201.77,19,5.17,55.0,7,2,2,2,1260.0
80.0,12,4.02,65.0,5,2,2,3,850.0
101.0,10,6.11,82.38,5,4,4,4,870.43
160.0,4,3.57,75.0,4,3,3,3,750.0
50.0,9,1.98,35.0,1,1,1,1,295.0
75.0,13,4.55,57.4,5,2,2,2,828.8
110.0,2,5.24,64.0,4,2,2,3,660.0
300.0,1,4.27,110.0,7,4,4,5,1800.0
68.66,9,1.92,57.22,1,3,3,2,446.31
200.0,18,3.08,127.0,5,3,3,6,924.5
200.0,13,5.48,76.2,4,2,2,3,827.0
90.0,5,2.94,36.23,1,1,1,1,370.0
120.0,5,2.28,57.5,2,3,3,2,425.0
0.0,2,5.91,60.0,5,2,2,2,700.0
120.0,14,3.95,51.3,1,2,2,2,419.0
150.0,3,3.88,50.0,2,1,1,2,500.0
107.0,7,2.44,53.53,1,2,2,2,375.0
106.0,19,2.56,51.86,2,2,2,2,421.0
180.0,17,1.95,80.0,3,3,3,3,600.0
70.0,19,0.75,63.77,2,3,3,3,510.0
280.0,13,5.05,106.0,8,4,4,5,1870.0
59.0,10,4.08,57.76,1,3,3,2,418.0
280.0,6,3.72,90.0,4,4,4,4,820.0
103.0,11,1.27,34.38,1,1,1,1,313.0
45.0,10,1.72,78.0,3,3,3,3,540.0
40.0,8,3.03,17.0,1,1,1,1,260.0
85.0,10,3.23,56.0,2,2,2,2,475.0
220.0,7,2.65,87.81,5,3,3,4,1063.29
150.73,4,3.33,66.4,5,2,2,3,801.45
125.0,34,3.08,40.0,3,2,2,1,585.0
120.0,13,0.63,62.21,1,2,2,3,420.0
150.0,3,3.5,96.0,6,3,3,4,1000.0
150.0,12,3.82,65.52,5,2,2,3,920.0
76.0,5,0.36,38.25,1,1,1,1,275.0
95.0,26,3.23,52.0,1,2,2,2,395.0
86.0,10,2.27,69.0,1,4,4,3,453.0
250.0,12,4.79,84.0,8,3,3,4,1825.0
206.0,2,0.59,86.0,2,2,2,4,593.0
119.0,5,4.12,25.0,1,1,1,1,369.0
120.0,19,3.93,63.69,2,3,3,3,550.0
50.0,4,3.88,20.0,2,1,1,1,400.0
120.0,4,3.36,92.0,3,4,4,4,664.33
92.0,9,2.56,37.2,1,1,1,1,392.0
100.0,7,0.0,51.0,1,2,2,2,340.0
132.0,8,2.36,87.91,5,5,5,4,914.0
200.0,17,5.41,64.31,5,2,2,3,850.0
110.0,7,3.98,68.88,4,3,3,3,735.0
65.0,5,1.38,61.96,3,2,2,3,573.0
